"PR_Category","B.cells.naive_mean","B.cells.naive_sd","B.cells.naive_median","B.cells.memory_mean","B.cells.memory_sd","B.cells.memory_median","Plasma.cells_mean","Plasma.cells_sd","Plasma.cells_median","T.cells.CD8_mean","T.cells.CD8_sd","T.cells.CD8_median","T.cells.CD4.naive_mean","T.cells.CD4.naive_sd","T.cells.CD4.naive_median","T.cells.CD4.memory.resting_mean","T.cells.CD4.memory.resting_sd","T.cells.CD4.memory.resting_median","T.cells.CD4.memory.activated_mean","T.cells.CD4.memory.activated_sd","T.cells.CD4.memory.activated_median","T.cells.follicular.helper_mean","T.cells.follicular.helper_sd","T.cells.follicular.helper_median","T.cells.regulatory..Tregs._mean","T.cells.regulatory..Tregs._sd","T.cells.regulatory..Tregs._median","T.cells.gamma.delta_mean","T.cells.gamma.delta_sd","T.cells.gamma.delta_median","NK.cells.resting_mean","NK.cells.resting_sd","NK.cells.resting_median","NK.cells.activated_mean","NK.cells.activated_sd","NK.cells.activated_median","Monocytes_mean","Monocytes_sd","Monocytes_median","Macrophages.M0_mean","Macrophages.M0_sd","Macrophages.M0_median","Macrophages.M1_mean","Macrophages.M1_sd","Macrophages.M1_median","Macrophages.M2_mean","Macrophages.M2_sd","Macrophages.M2_median","Dendritic.cells.resting_mean","Dendritic.cells.resting_sd","Dendritic.cells.resting_median","Dendritic.cells.activated_mean","Dendritic.cells.activated_sd","Dendritic.cells.activated_median","Mast.cells.resting_mean","Mast.cells.resting_sd","Mast.cells.resting_median","Mast.cells.activated_mean","Mast.cells.activated_sd","Mast.cells.activated_median","Eosinophils_mean","Eosinophils_sd","Eosinophils_median","Neutrophils_mean","Neutrophils_sd","Neutrophils_median"
"Low",0.0207689154540154,0.0174149686758075,0.0176580858163177,0.0446647263863034,0.0282865174975184,0.0413376532778598,0.0379310118771273,0.0443062667977896,0.0216680150598076,0.0912456651791829,0.0457289547186241,0.0838944554141233,0.00301179521330366,0.0143424830466155,0,0.0938471665964251,0.0537761113416508,0.0965028610200112,0.0102977218969949,0.0167481221904621,0.00166502719503654,0.0750899145198494,0.023726740452102,0.0743183278917575,0.0247770925078314,0.0263137896530151,0.0180537224119241,0.0370977897423057,0.0335271498389079,0.03144428851276,0.0101060384205731,0.017003671739297,0,0.0306157963370154,0.0209882184666149,0.0284218116467118,0.0240393567745998,0.0216707667490683,0.0202631291352191,0.105582926039347,0.0737110444676618,0.0989135217991362,0.071502801418415,0.0251874080504355,0.0690778940261854,0.184392751903332,0.0595713414877408,0.178361654221664,0.0060942147264954,0.00755740795599749,0.003890808794284,0.00362896314419058,0.00835310822127665,0,0.103282292516852,0.0684621629453327,0.0872071989418159,0.0182072633715417,0.0310273980918501,0.0032417285509584,0.0013305516159325,0.00400691395003162,0,0.00248524435836635,0.00366517721704709,2.19398087515873e-05
"Medium",0.0224093385991097,0.0167117091226378,0.0195048598915653,0.0425182386838204,0.0280437913115498,0.0391686186719892,0.0337156853614497,0.0437802123573312,0.017358884307184,0.0871905333569164,0.0466351458015415,0.0774712092441483,0.00167145001912016,0.00848854859207812,0,0.097417823487267,0.0522529982357776,0.0956846223963961,0.00874054942347221,0.0159242421130269,0,0.078529546538939,0.0235758717201663,0.0768880939753015,0.0284538293695342,0.0288358127230252,0.0203144048068026,0.0343516670639491,0.0326348373010743,0.0265296054047124,0.0110839592810827,0.0168209446975537,0,0.0276928968996994,0.0205048839418944,0.0260540993773292,0.0233625565473145,0.0186769975687753,0.0199579033483515,0.0965953829500446,0.0747235721768335,0.0840844050369741,0.0735170284011383,0.0244294577213039,0.0686401855831894,0.191058260208356,0.0565843083073659,0.186870876522572,0.00848435800759551,0.0106917954650287,0.00577085624360127,0.00421686984752529,0.00828935912016158,0,0.109751876076038,0.0669923931517627,0.10194932226855,0.0149429117624686,0.0306332348581602,0.00034309868082587,0.00178833965740435,0.0045974053104449,0,0.00250689845775484,0.00354783127599554,0.000421261580542089
"High",0.0212971887626966,0.0179051042790589,0.0179769011579328,0.0483009431925358,0.0306928457099902,0.0448369897176373,0.0270449059657385,0.0351090057982427,0.015165518241675,0.0809321410512175,0.0440528475669761,0.0728529597890932,0.000986427809455403,0.0049010674361025,0,0.0932600398743772,0.0450954937039393,0.0951071756465866,0.00699468587431603,0.014423675858681,0,0.0829822908736152,0.0239833787372839,0.0800185273964522,0.0217346405371404,0.0218843122119114,0.0170373093598975,0.0317393531038315,0.03153053878602,0.024711206138983,0.0108988414132485,0.017894500082766,0,0.0293837050040808,0.0194160123360771,0.0281706312373385,0.0242845574279469,0.0212734300311936,0.0203276648301115,0.0998729524422007,0.0751907389021899,0.0887708360147288,0.0639043587482688,0.0217540036696315,0.0609307404661658,0.203582798928477,0.063574265472878,0.195740954471655,0.00741186888100611,0.00876234981702487,0.00480084384764029,0.0043810542081103,0.008949322323924,0,0.117234954926962,0.0769005974968183,0.0990762470000419,0.0186599833544628,0.0312272191773971,0.00184086043307336,0.00236280478910774,0.00664304678994958,0,0.00274950283120405,0.00462829249403715,0
